country,year,sex,age,suicides_no,population
Brazil,2009,female,35-54 years,768.0,25523153.0
Brazil,2009,female,5-14 years,52.0,16772250.0
Brazil,2009,female,55-74 years,301.0,12124076.0
Brazil,2009,female,75+ years,58.0,2811556.0
Brazil,2009,male,15-24 years,1270.0,17794434.0
Brazil,2009,male,25-34 years,1838.0,16753314.0
Brazil,2009,male,35-54 years,2737.0,24035191.0
Brazil,2009,male,5-14 years,62.0,17421892.0
Brazil,2009,male,55-74 years,1271.0,10398573.0
Brazil,2009,male,75+ years,295.0,1803127.0
Brazil,2010,female,15-24 years,368.0,17237481.0
Brazil,2010,female,25-34 years,404.0,17054489.0
Brazil,2010,female,35-54 years,835.0,26004856.0
Brazil,2010,female,5-14 years,48.0,16596829.0
Brazil,2010,female,55-74 years,339.0,12605588.0
Brazil,2010,female,75+ years,79.0,2940677.0
Brazil,2010,male,15-24 years,1288.0,17726866.0
Brazil,2010,male,25-34 years,1832.0,17023785.0
Brazil,2010,male,35-54 years,2586.0,24501254.0
Brazil,2010,male,5-14 years,56.0,17242386.0
Brazil,2010,male,55-74 years,1236.0,10813388.0
Brazil,2010,male,75+ years,358.0,1882113.0
Brazil,2011,female,15-24 years,413.0,17180849.0
Brazil,2011,female,25-34 years,400.0,17253232.0
Brazil,2011,female,35-54 years,805.0,26488792.0
Brazil,2011,female,5-14 years,47.0,16404101.0
Brazil,2011,female,55-74 years,352.0,13063915.0
Brazil,2011,female,75+ years,71.0,3110432.0
Brazil,2011,male,15-24 years,1335.0,17674787.0
Brazil,2011,male,25-34 years,1907.0,17249585.0
Brazil,2011,male,35-54 years,2754.0,24975171.0
Brazil,2011,male,5-14 years,63.0,17044425.0
Brazil,2011,male,55-74 years,1323.0,11208705.0
Brazil,2011,male,75+ years,352.0,2002447.0
Brazil,2012,female,15-24 years,383.0,17145894.0
Brazil,2012,female,25-34 years,455.0,17398447.0
Brazil,2012,female,35-54 years,877.0,26979566.0
Brazil,2012,female,5-14 years,41.0,16175024.0
Brazil,2012,female,55-74 years,418.0,13532752.0
Brazil,2012,female,75+ years,80.0,3285641.0
Brazil,2012,male,15-24 years,1313.0,17644319.0
Brazil,2012,male,25-34 years,1930.0,17418954.0
Brazil,2012,male,35-54 years,2885.0,25463652.0
Brazil,2012,male,5-14 years,79.0,16810876.0
Brazil,2012,male,55-74 years,1458.0,11612925.0
Brazil,2012,male,75+ years,376.0,2123165.0
Brazil,2013,female,15-24 years,362.0,17123318.0
Brazil,2013,female,25-34 years,393.0,17492228.0
Brazil,2013,female,35-54 years,897.0,27475364.0
Brazil,2013,female,5-14 years,50.0,15923724.0
Brazil,2013,female,55-74 years,433.0,14022927.0
Brazil,2013,female,75+ years,88.0,3462431.0
Brazil,2013,male,15-24 years,1317.0,17627508.0
Brazil,2013,male,25-34 years,2004.0,17534209.0
Brazil,2013,male,35-54 years,3053.0,25965164.0
Brazil,2013,male,5-14 years,72.0,16555477.0
Brazil,2013,male,55-74 years,1474.0,12036068.0
Brazil,2013,male,75+ years,370.0,2240434.0
Brazil,2014,female,15-24 years,371.0,17094729.0
Brazil,2014,female,25-34 years,457.0,17539955.0
Brazil,2014,female,35-54 years,871.0,27971096.0
Brazil,2014,female,5-14 years,62.0,15670559.0
Brazil,2014,female,55-74 years,389.0,14550395.0
Brazil,2014,female,75+ years,83.0,3634999.0
Brazil,2014,male,15-24 years,1358.0,17606681.0
Brazil,2014,male,25-34 years,1982.0,17601477.0
Brazil,2014,male,35-54 years,3050.0,26475231.0
Brazil,2014,male,5-14 years,84.0,16299015.0
Brazil,2014,male,55-74 years,1534.0,12492114.0
Brazil,2014,male,75+ years,390.0,2349303.0
Brazil,2015,female,15-24 years,397.0,17047218.0
Brazil,2015,female,25-34 years,466.0,17546090.0
Brazil,2015,female,35-54 years,910.0,28461855.0
Brazil,2015,female,5-14 years,56.0,15430579.0
Brazil,2015,female,55-74 years,479.0,15122216.0
Brazil,2015,female,75+ years,89.0,3802086.0
Brazil,2015,male,15-24 years,1389.0,17569045.0
Brazil,2015,male,25-34 years,1897.0,17625976.0
Brazil,2015,male,35-54 years,3238.0,26989063.0
Brazil,2015,male,5-14 years,79.0,16057040.0
Brazil,2015,male,55-74 years,1693.0,12987357.0
Brazil,2015,male,75+ years,470.0,2448560.0
France,1995,female,15-24 years,181.0,3944400.0
France,1995,female,25-34 years,372.0,4319400.0
France,1995,female,35-54 years,1110.0,7882500.0
France,1995,female,5-14 years,6.0,3582500.0
France,1995,female,55-74 years,1002.0,5819400.0
France,1995,female,75+ years,543.0,2517900.0
France,1995,male,15-24 years,622.0,4081100.0
France,1995,male,25-34 years,1397.0,4337200.0
France,1995,male,35-54 years,3198.0,7887100.0
France,1995,male,5-14 years,22.0,3751400.0
France,1995,male,55-74 years,2067.0,5066300.0
France,1995,male,75+ years,1299.0,1339300.0
France,1996,female,15-24 years,165.0,3903000.0
France,1996,female,25-34 years,381.0,4324600.0
France,1996,female,35-54 years,1135.0,8060200.0
France,1996,female,5-14 years,2.0,3562100.0
France,1996,female,55-74 years,898.0,5746100.0
France,1996,female,75+ years,524.0,2604800.0
France,1996,male,15-24 years,519.0,4039700.0
France,1996,male,25-34 years,1308.0,4348700.0
France,1996,male,35-54 years,3198.0,8040100.0
France,1996,male,5-14 years,17.0,3729800.0
France,1996,male,55-74 years,1905.0,5025600.0
France,1996,male,75+ years,1227.0,1406900.0
France,1997,female,15-24 years,167.0,3862400.0
France,1997,female,25-34 years,362.0,4330700.0
France,1997,female,35-54 years,1137.0,8206300.0
France,1997,female,5-14 years,11.0,3540800.0
France,1997,female,55-74 years,850.0,5708700.0
France,1997,female,75+ years,513.0,2681600.0
France,1997,male,15-24 years,534.0,3996500.0
France,1997,male,25-34 years,1206.0,4363600.0
France,1997,male,35-54 years,3224.0,8161700.0
France,1997,male,5-14 years,12.0,3706700.0
France,1997,male,55-74 years,1830.0,5020300.0
France,1997,male,75+ years,1293.0,1466200.0
France,1998,female,15-24 years,140.0,3836900.0
France,1998,female,25-34 years,316.0,4325400.0
France,1998,female,35-54 years,1040.0,8271100.0
France,1998,female,5-14 years,9.0,3717100.0
France,1998,female,55-74 years,789.0,5678200.0
France,1998,female,75+ years,469.0,2621800.0
France,1998,male,15-24 years,523.0,3962400.0
France,1998,male,25-34 years,1136.0,4361300.0
France,1998,male,35-54 years,3073.0,8206100.0
France,1998,male,5-14 years,10.0,3891000.0
France,1998,male,55-74 years,1822.0,4982000.0
France,1998,male,75+ years,1207.0,1427400.0
France,1999,female,15-24 years,127.0,3767655.0
France,1999,female,25-34 years,325.0,4244890.0
France,1999,female,35-54 years,1090.0,8372745.0
France,1999,female,5-14 years,9.0,3662265.0
France,1999,female,55-74 years,818.0,5655463.0
France,1999,female,75+ years,472.0,2704077.0
France,1999,male,15-24 years,477.0,3886319.0
France,1999,male,25-34 years,1103.0,4226264.0
France,1999,male,35-54 years,2893.0,8248737.0
France,1999,male,5-14 years,21.0,3836476.0
France,1999,male,55-74 years,1744.0,4960694.0
France,1999,male,75+ years,1189.0,1477808.0
France,2000,female,15-24 years,137.0,3764091.0
France,2000,female,25-34 years,291.0,4188264.0
France,2000,female,35-54 years,1127.0,8501357.0
France,2000,female,5-14 years,8.0,3643220.0
France,2000,female,55-74 years,819.0,5646919.0
France,2000,female,75+ years,492.0,2775754.0
France,2000,male,15-24 years,471.0,3885375.0
France,2000,male,25-34 years,1088.0,4176771.0
France,2000,male,35-54 years,3235.0,8355079.0
France,2000,male,5-14 years,35.0,3817540.0
France,2000,male,55-74 years,1820.0,4982015.0
France,2000,male,75+ years,1326.0,1531239.0
France,2001,female,15-24 years,135.0,3785067.0
France,2001,female,25-34 years,260.0,4118984.0
France,2001,female,35-54 years,1122.0,8577068.0
France,2001,female,5-14 years,11.0,3624987.0
France,2001,female,55-74 years,793.0,5685442.0
France,2001,female,75+ years,468.0,2849945.0
France,2001,male,15-24 years,434.0,3908716.0
France,2001,male,25-34 years,1075.0,4116558.0
France,2001,male,35-54 years,3166.0,8409778.0
