country,year,sex,age,suicides_no,population
Thailand,2012,female,55-74 years,222.0,5145957.0
Thailand,2012,female,75+ years,54.0,1265466.0
Thailand,2012,male,15-24 years,369.0,4938617.0
Thailand,2012,male,25-34 years,721.0,5121552.0
Thailand,2012,male,35-54 years,1234.0,9949264.0
Thailand,2012,male,5-14 years,14.0,4300247.0
Thailand,2012,male,55-74 years,581.0,4433963.0
Thailand,2012,male,75+ years,136.0,869252.0
Thailand,2013,female,15-24 years,88.0,4741021.0
Thailand,2013,female,25-34 years,126.0,4960889.0
Thailand,2013,female,35-54 years,382.0,10594744.0
Thailand,2013,female,5-14 years,6.0,3984166.0
Thailand,2013,female,55-74 years,190.0,5336311.0
Thailand,2013,female,75+ years,64.0,1362800.0
Thailand,2013,male,15-24 years,331.0,4956860.0
Thailand,2013,male,25-34 years,706.0,5038432.0
Thailand,2013,male,35-54 years,1313.0,10032499.0
Thailand,2013,male,5-14 years,17.0,4224575.0
Thailand,2013,male,55-74 years,586.0,4596763.0
Thailand,2013,male,75+ years,152.0,937427.0
Thailand,2014,female,15-24 years,49.0,4717317.0
Thailand,2014,female,25-34 years,116.0,4883263.0
Thailand,2014,female,35-54 years,388.0,10644118.0
Thailand,2014,female,5-14 years,14.0,3940160.0
Thailand,2014,female,55-74 years,240.0,5539928.0
Thailand,2014,female,75+ years,71.0,1458962.0
Thailand,2014,male,15-24 years,337.0,4935213.0
Thailand,2014,male,25-34 years,682.0,4969108.0
Thailand,2014,male,35-54 years,1274.0,10095367.0
Thailand,2014,male,5-14 years,12.0,4179206.0
Thailand,2014,male,55-74 years,632.0,4771792.0
Thailand,2014,male,75+ years,137.0,1005485.0
Thailand,2015,female,15-24 years,55.0,4632371.0
Thailand,2015,female,25-34 years,96.0,4783703.0
Thailand,2015,female,35-54 years,363.0,10646859.0
Thailand,2015,female,5-14 years,14.0,3881727.0
Thailand,2015,female,55-74 years,248.0,5795996.0
Thailand,2015,female,75+ years,63.0,1527522.0
Thailand,2015,male,15-24 years,317.0,4847684.0
Thailand,2015,male,25-34 years,663.0,4873464.0
Thailand,2015,male,35-54 years,1482.0,10101149.0
Thailand,2015,male,5-14 years,12.0,4111704.0
Thailand,2015,male,55-74 years,718.0,4990958.0
Thailand,2015,male,75+ years,174.0,1068139.0
